"locality","species_richness","gbif_records","latitude","longitude"
"Km 52 Alto Pisones spot.","16","31","3.52785","-76.74062"
"Farallones de cali","16","32","3.344168","-76.69583"
"Sector La Holanda","16","44","3.929717","-76.564583"
"PNN Farallones de Cali--Sendero Río San Juan","16","45","3.476692","-76.71361"
"Alto Dapa","16","50","3.56013","-76.57625"
"Río Verde","16","51","3.53279","-76.83259"
"Finca La Esmeralda CO-Valle Del Cauca-Santiago De Cali - 3.4439x-76.6265 - Mar 18, 2017, 3:24 PM","16","67","3.443938","-76.62655"
"El Queremal - El Descanso","16","71","3.526614","-76.73388"
"Doña Dora","16","73","3.534572","-76.75406"
"Finca Arco Iris","16","75","3.561937","-76.63897"
"Finca Alejandria","16","79","3.529142","-76.60631"
"Tenerife","16","87","3.729008","-76.07739"
"RN Bonanza","16","88","3.257278","-76.6556"
"Los Andes","16","100","3.41675","-76.633415"
"Shangri-La","16","115","3.306251","-76.60078"
"RN Anahuac Pance","16","116","3.327929","-76.64423"
"Balneario Valparaiso","16","124","3.848688","-76.79649"
"Alto Potedó","16","194","3.789756","-76.9887"
"Reserva Forestal Protectora de Bitaco, finca la Minga","16","291","3.33847","-76.658538"
"Finca Miramanga--Casa Tángara (histórico)","16","954","3.56039","-76.56641"
"RN Laguna de Sonso","16","1779","3.86867","-76.35217"
"Vía sin nombre, Valle del Cauca, CO (3.538, -76.606)","15","15","3.537614","-76.6064"
"3.528x-76.613 Finca La Conchita - 9 mar. 2018 6:20 PM","15","15","3.527911","-76.613304"
"Km 18 y Finca Alejandría","15","15","3.537837","-76.60857"
"Monitoreo Calima","15","17","3.882657","-76.56115"
"Bosque de Niebla und San Antonia Cloud Forest","15","21","3.497701","-76.627296"
"Finca la florida","15","21","3.52699","-76.614784"
"Finca Florida -Bosque de las aves","15","23","3.526202","-76.616585"
"Road west out of Cali","15","24","3.526509","-76.73311"
"Bajo Calima","15","26","3.875176","-76.99617"
"Auto selected 3.57268, -76.55215","15","27","3.57268","-76.55215"
"Corregimiento Río Bravo, La Betania","15","27","3.87818","-76.58706"
"Valle Bonito","15","28","3.77536","-76.014534"
"DCS Cañón del Río Grande, Vereda Roman","15","29","3.753361","-76.579639"
"Corregimiento Bitaco, vereda Chicoral, cuenca alta del río Bitaco","15","31","3.558333","-76.588722"
"Km18, Santiago De Cali CO-Valle Del Cauca (3.5361,-76.6057) 1.970msnm","15","38","3.53609","-76.60568"
"KM-18 - (3.523, -76.617)","15","38","3.523314","-76.61729"
"PNN Farallones de Cali--Los Balcones","15","48","3.3293","-76.69526"
"Páramo de Las Dominguez","15","49","3.696013","-76.12281"
"RFPR Bitaco","15","55","3.559667","-76.599778"
"ZYGIA, Estación Biológica ICESi","15","60","3.442429","-76.66375"
"Vereda El Pato, sitio El Pato","15","66","3.330556","-76.654028"
"Finca La Florida El Bosque De las aves Kilómetro 18 Vía Al Mar","15","68","3.528249","-76.61718"
"Parque Natural Regional Páramo del Duende--Centro de Investigación Corporación Autónoma Regional del Valle del Cauca","15","69","4.049015","-76.45744"
"Queremal (pueblo)","15","70","3.523643","-76.71216"
"San Jose del Salado (area general)","15","77","3.557338","-76.73443"
"Paso Galapagos","15","82","4.812912","-76.185064"
"Km 55/El Descanso","15","100","3.53493","-76.75306"
"Finca El Pailon","15","190","3.699026","-76.07007"
"Distrito de Manejo Integrado de Atuncela--Enclave Subxerofitico","15","329","3.741693","-76.67978"
"Curigua Ecolodg Buga","15","340","3.876524","-76.172745"
"Sendero Orgánico","15","548","3.631122","-76.58267"
"Finca La Victoria","14","14","3.264111","-76.69161"
"Alto dapa Nidito de amor","14","14","3.558594","-76.55644"
"Colombia - Bosque de Niebla","14","14","3.530235","-76.61285"
"Colombia@3.54,-76.61","14","14","3.539424","-76.60606"
"Finca La Minga, Chicoral","14","14","3.566374","-76.58527"
"Kilometro 18, Via Cali-Buenaventura","14","14","3.525329","-76.61702"
"Vereda la Debora","14","16","3.659047","-76.57484"
"La Elvira","14","20","3.50226","-76.598915"
"PNN Farallones de Cali--Rio Felidia","14","20","3.458889","-76.63611"
"Chorrera del Indio","14","20","3.332042","-76.61389"
"Vereda La Cristalina, Finca El Tesoro","14","24","4.00389","-76.48636"
"Valle del Cauca, CO (3.426, -76.654)","14","26","3.426251","-76.65374"
"RN Refugio Corazones Verdes","14","31","3.579755","-76.54839"
"La Italia","14","32","3.983764","-75.939964"
"Finca Montebello","14","32","3.566902","-76.58497"
"Restaurante Aquí Me Quedo","14","40","3.53109","-76.619965"
"Condominio Cerro Morales","14","42","3.578527","-76.56996"
"Vía Buenos Aires, Valle del Cauca, CO (3.919, -76.186)","14","42","3.91869","-76.18618"
"Reserva Natural Altamira","14","43","4.778695","-76.221664"
"Km 18, Vía Cali - Buenaventura","14","49","3.526209","-76.61681"
"Rio Bravo","14","52","3.880881","-76.619446"
"Via a La Minga, vereda Chicoral, municipio La Cumbre","14","55","3.568847","-76.578766"
"Finca Florida","14","55","3.52742","-76.61724"
"CO-Valle Del Cauca-Santiago De Cali (3.5182,-76.6199)","14","56","3.518165","-76.61987"
"El Rocío Ecolodge","14","56","3.33717","-76.594406"
"Ecohotel Casa Blanca","14","64","3.894869","-76.17971"
"Guabas","14","79","3.7313","-76.2254"
"Finca La Esmeralda CO-Valle Del Cauca-Santiago De Cali - 3.4439x-76.6265 - Feb 26, 2017, 9:59 AM","14","82","3.443941","-76.62646"
"Nido del Bosque, Cali CO-Valle Del Cauca 3.52868, -76.61611","14","82","3.528677","-76.61611"
"Finca Zingara (3.54, -76.605)","14","90","3.539723","-76.60456"
"Río Tatabro","14","94","3.802595","-76.9891"
"Casa Ashraya Refugio De Las Aves","14","113","3.503283","-76.61741"
"Balneario La Delfina","14","195","3.82311","-76.78157"
"Reserva De La Sociedad Civil Chorro De Plata","14","199","3.347959","-76.597336"
"Yumbo, Dapa, Calle del Riachuelo, Casa 'La Elisa'","14","218","3.5578","-76.57321"
"Reserva Santelina","14","220","3.847696","-76.183"
"Reserva La Primavera Yotoco","14","326","3.982496","-76.390045"
"Finca San José de la Montaña","14","499","3.504529","-76.62066"
"Cali - Dagua, Valle del Cauca, CO (3.519, -76.62)","13","13","3.518867","-76.619835"
"卡利, Valle Del Cauca, 卡利 CO-Valle Del Cauca (3.5393,-76.6060)","13","13","3.539294","-76.60595"
"Area around km18","13","13","3.532923","-76.610916"
"Finca Alejandría -El Porvenir","13","13","3.539635","-76.60638"
"3.56633_-76.58530","13","13","3.56633","-76.5853"
"Doña Dora Feeders to Rio Blanco","13","13","3.590109","-76.832115"
"Reserva Forestal De Yotoco","13","13","3.869999","-76.389999"
"La Araucaria","13","13","3.326943","-76.62103"
"3.5242x-76.7268 - Dec 5, 2016, 6:04 AM","13","13","3.524201","-76.72677"
"Valle del Cauca, CO (3.333, -76.633)alto pance FINCA VILLA CIELO","13","13","3.332914","-76.633156"
"CO-Valle del Cauca-Dagua-Buenaventura - 3.527x-76.721","13","13","3.526661","-76.720726"
"CO-Valle Del Cauca-Cali (3,5606,-76,5760)","13","13","3.560627","-76.576035"
"Villa de Aurora Eco Lodge-Dapa.","13","15","3.544043","-76.58095"
"Zingara","13","16","3.5","-76.61694"
"Via Potrerillo - La nevera, Valle del Cauca, CO (3,546, -76,133)","13","17","3.546026","-76.13321"
"Doña Dora El Descanso EHG, Valle del Cauca, CO (3,535, -76,754)","13","17","3.534747","-76.75355"
"CO-Valle del Cauca-Finca Alejandria Road - 3.539x-76.606 - 22 jul. 2017 11:34 AM","13","18","3.5392","-76.60612"
"Vereda El pato, Valle del Cauca, CO (3.327, -76.644)","13","19","3.327451","-76.64416"
"Barragán arriba","13","20","3.993","-75.925"
"RN Valle de Frailejones","13","23","4.06175","-75.7595"
"Carretera La Primavera El Darién","13","23","3.95637","-76.43754"
"Cerro del Inglés","13","25","4.741672","-76.29466"
"Seleccionado automáticamente","13","25","3.12359","-76.56345"
"3,5208 X -76,6183","13","26","3.52082","-76.6183"
"Valle del Cauca, CO (3.57, -76.582)","13","26","3.569956","-76.58247"
"Finca Zingara","13","29","3.527778","-76.62111"
"Nido del Bosque (formerly Lomazul Ecolodge)","13","33","3.528543","-76.616035"
"La Minga Ecolodge","13","40","3.566454","-76.585236"
"Colombia Valle del Cauca, Doña Dora","13","41","3.53308","-76.75377"
"Singara Km 18","13","41","3.5399","-76.6045"
"tenerife","13","44","3.720289","-76.07393"
"Carreterra Buenaventura--Senda El Barrion","13","57","3.518713","-76.71831"
"Reserva Natural Nirvana","13","62","3.471271","-76.21203"
"Rio Bravo Valle del Cauca, CO (3,879, -76,56)","13","64","3.87943","-76.56044"
"Colombia - Valle del Cauca","13","71","3.527137","-76.878876"
"Anchicaya-- Carretera Queremal-Sabaletas","13","72","3.662816","-76.87271"
"""Cuenca río Bugalagrande, vereda Miraflores, finca la Traviata""","13","78","3.983944","-75.808972"
"Embalse Calima","13","84","3.877442","-76.557884"
"Reserva Natural la Tierra Nuestra Buga","13","100","3.884514","-76.13739"
"Finca Enebros Km 8 Dapa","13","150","3.556705","-76.5514"
"Universidad Javeriana Cali","13","300","3.346396","-76.53306"
"Lee Calvert's Cali Finca","12","12","3.434","-76.616"
"Bosque Aracataca. Vereda Triana","12","12","3.8256","-76.5263"
"Via hacia Sevilla","12","12","4.090216","-75.841545"
"Bosque Las Brisas - Argelia Valle","12","12","3.605","-76.4314"
"Aua","12","12","3.91372","-76.117256"
"Cali: Straße 19 km 18, Finca Alejandria ""El Paraiso de los Colidrie""","12","12","3.539678","-76.606293"
"atuncela","12","12","3.737762","-76.674225"
"Vía a Borrero Ayerbe, Dagua CO-Valle Del Cauca 3.53106, -76.62011","12","12","3.531055","-76.62011"
"(3,539, -76,606)","12","12","3.539299","-76.60589"
"Central Hidroelectrica Bajo Anchocaya","12","12","3.61399","-76.90857"
"CO-Valle Del Cauca-Santiago De Cali (3.5393,-76.6061)2019 agosto con Gil","12","12","3.539346","-76.60609"
"Finca Buenos Aires - Vereda El Retiro","12","12","4.786707","-76.199425"
"Finca la conchita","12","12","3.527149","-76.613205"
"Finca la Florida","12","12","3.528226","-76.61332"
"Kilometro 18","12","12","3.538349","-76.61658"
"Peñas Blancas (casa Oswaldo)","12","12","3.430673","-76.6626"
"La conchita","12","12","3.528286","-76.613396"
"La Lolita, El Saladito, Cali","12","12","3.489003","-76.616806"
"Finca Alejandría paraíso de los colibríes","12","14","3.539621","-76.60499"
"Galapagos Road","12","19","4.832723","-76.17231"
"Buenaventura, Valle del Cauca, CO (3.526, -76.734)","12","22","3.526026","-76.733574"
"Sendero La Castellana","12","24","3.333891","-76.64015"
"Dona Dora el descanso","12","24","3.522401","-76.7185"
"Finca La Alborada (acceso restringido)","12","24","3.535917","-76.61494"
"Buenaventura, Valle del Cauca, CO (3.54, -76.757)","12","24","3.539575","-76.75662"
"Robert Oelman's yard","12","24","3.503431","-76.619316"
"Finca Betania","12","25","3.584215","-76.17204"
"La Choza","12","28","3.6294","-76.83446"
"vereda Chicoral","12","28","3.566399","-76.5849"
"Finca Tupambaé","12","35","3.573176","-76.61309"
"Peñas Blancas- 3.402x-76.683 - may 13, 2017 19:18","12","37","3.402158","-76.683395"
"Cali","12","41","3.363788","-76.55308"
"Alto Río Sabaletas","12","42","3.750673","-76.94851"
"4 km NW San Antonio","12","43","3.25","-76.583333"
"Valle del Cauca, CO (3.611, -76.894)","12","46","3.610737","-76.89438"
"Doña Dora / El Descanso (3.5347,-76.7535) 1.272 masl","12","46","3.534719","-76.75352"
"Reserva Natural Cantalia","12","53","3.761103","-76.20411"
"Hábitats BSA Bosque San Antonio, Valle del Cauca, CO (3.512, -76.599)","12","53","3.512245","-76.599045"
"Fundación Agroambiental Monterrey","12","60","3.579109","-76.59916"
"Reserva Natural de las Aves Las Bangsias","12","63","3.624133","-76.81624"
"El Cominal","12","66","3.349942","-76.64736"
"""Cuenca río Amaime, vereda la Nevera, finca la Victoria""","12","68","3.535","-76.078583"
"Restaurante Aquí Me Quedo - Vía a Borrero Ayerbe, Dagua CO-Valle del Cauca (3.5312,-76.6201)","12","71","3.531211","-76.620125"
"Valle del Cauca, CO (3,47, -76,199)","12","96","3.469806","-76.19872"
"Brisas","12","97","4.76531","-76.13779"
"Ruta Nacional 19 1–83, Santiago De Cali CO-Valle Del Cauca (3.5311,-76.6201) Restaurant “Aquí me Quedo”.","12","99","3.5311","-76.62005"
"Vereda Calimita - Restrepo","12","111","3.829767","-76.53381"
"Chorro de Plata","12","120","3.33834","-76.602776"
"Hacienda Guadalajara","12","155","3.471882","-76.203316"
"Parque Natural Regional El Vínculo","12","201","3.825656","-76.2978"
"Vereda Chicoral, La Cumbre, Valle del Cauca","11","11","3.575957","-76.58129"
"Finca Florida - El Bosque de las Aves","11","11","3.526207","-76.616585"
"Parque Natural Regional Páramo del Duende","11","11","4.045833","-76.4475"
"Finca Alexandria","11","11","3.539553","-76.606415"
"Estadero Doña Dora, El Descanso.","11","11","3.534963","-76.752914"
"El Manantial","11","11","3.324823","-76.63097"
"Travel - Cali to Dagua","11","11","3.562233","-76.61123"
"Unnamed Road, Valle del Cauca, CO (3.326, -76.621)","11","11","3.32634","-76.62073"
"Darien, Lago Calima North Side","11","11","3.920035","-76.499504"
"Unnamed Road, Valle del Cauca, CO (3.566, -76.586)la minga ecolodge","11","11","3.566195","-76.58553"
"Alto Calima","11","11","3.939239","-76.515076"
"Chicoral-Valle del Cauca","11","11","3.574651","-76.581024"
"Vereda Chicoral, La Cumbre","11","11","3.566864","-76.58362"
"Cali: Straße 19 km 18, Old Buenaventura Road","11","11","3.588978","-76.674103"
"Bosques De Alejandría","11","11","3.539248","-76.606705"
"Bosque San Antonio, Cali","11","11","3.495669","-76.62473"
"La Paz - El 18, Cali CO-Valle del Cauca 3.52796, -76.61683","11","12","3.527956","-76.61683"
"Anchicaya Valley","11","13","3.543217","-76.931694"
"""Atuncela, camino destapado""","11","15","3.749944","-76.677056"
"La Cumbre, Valle del Cauca, CO","11","16","3.648079","-76.56691"
"Finca Alejandría ""El Paraiso de los Colibries""","11","16","3.538757","-76.60631"
"RN La Palma","11","17","3.714465","-76.090324"
"Finca Chucho","11","18","3.492346","-76.617836"
"Reserva El Porvenir","11","18","3.518627","-76.614685"
"CO-Valle Del Cauca-Santiago de Cali - 3,5550x-76,5792 - 23/04/2016 9:38 a.m. Finca campirana","11","19","3.555029","-76.57923"
"Km 27","11","21","3.597773","-76.64543"
"La Paz - Nido del Bosque - El 18, Cali CO-Valle Del Cauca 3.52784, -76.61616","11","22","3.527836","-76.616165"
"CO-Valle Del Cauca-Yumbo (3,5728,-76,5523)","11","22","3.572792","-76.55225"
"Los Ceibos-Tenerife, Valle del Cauca, CO (3.677, -76.076)","11","22","3.676596","-76.07592"
"La Cascada - Anchicaya","11","24","3.622139","-76.92996"
"Finca Tangara - Los Laureles- Valle del Cauca","11","24","3.509199","-76.609535"
"CO-Valle Del Cauca-Santiago De Cali (3.4907,-76.6192)","11","27","3.490673","-76.61925"
"Danubio-Anchicayá.","11","28","3.609219","-76.883675"
"El Cairo Vereda La Tulia","11","31","4.799308","-76.19993"
"(3.449, -76.621) kantú","11","33","3.448503","-76.62132"
"Via a La Elvira, Valle del Cauca, CO (3.529, -76.616)Finca El Nido Del Bosque","11","33","3.529123","-76.615814"
"CO-Valle Del Cauca-Cali (3,5439,-76,5807)","11","34","3.54394","-76.580696"
"Unnamed Road, Valle del Cauca, CO (3.512, -76.599)","11","38","3.512299","-76.5989"
"Restaurante La Chorrera del Indio","11","39","3.331271","-76.61741"
"Reserva La Montañita Yotoco Valle Del Cauca Primavera","11","42","3.998069","-76.446884"
"La Ventura La Cumbre","11","44","3.631468","-76.582924"
"Escaleras hacia Cerro Riqueza (ANC)","11","44","3.595","-76.892"
"Vía sin nombre, Valle del Cauca, CO (3.944, -76.492)","11","45","3.94448","-76.49169"
"Parcelacion Los Morales","11","45","3.574587","-76.571014"
"Carretera hacia Cerro Riqueza (ANC)","11","50","3.598","-76.888"
"Vía a Felidia, Felidia, Valle del Cauca, CO (3.469, -76.629)","11","51","3.469135","-76.62923"
"(3.625, -76.17) Madhú.Los Colores","11","54","3.624921","-76.16974"
"Cañón del Río Digua--Cascada de La Virgen","11","62","3.532183","-76.77978"
"Vereda El Topacio, sitio El Topacio","11","68","3.313972","-76.644222"
"Anchicaya, La Riqueza","11","71","3.594217","-76.895633"
"PNR Páramo del Duende","11","72","4.033333","-76.465833"
"PNN Uramba--Ladrilleros","11","82","3.938889","-77.36528"
"3.5663x-76.5856 - Dec 7, 2016, 5:30 PM","11","86","3.566287","-76.58557"
"Club Campestre de Cali","11","94","3.368859","-76.54554"
"Restaurante Aqui me Quedo Dagua, I-19 No. 2 a 100","11","107","3.53097","-76.61994"
"Reserva Natural Madhú, La Paula","11","111","3.630821","-76.19716"
"Restaurante ""Aquí me quedo""","11","113","3.544978","-76.61552"
"Cafe Tandil, 2254 Calle 2, Valle del Cauca, CO (4,325, -75,834)","11","116","4.324705","-75.83449"
"Finca Daly","11","121","3.560099","-76.561745"
"Museo de la Caña de Azúcar","11","125","3.626733","-76.223145"
"Cartago, Vereda El Enfado","11","181","4.754966","-75.89424"
"Finca La Chacona, Corregimiento Borrero Ayerbe, VDC","11","206","3.567615","-76.608665"
"Finca Ecoturística Villa Estela","11","352","3.297644","-76.17706"
"PN de La Uva--Cultivo de Aloe Vera","11","403","4.527307","-76.09065"
"Vereda La Clorinda","11","1003","3.548972","-76.63003"
"Finca Ronda Gyrola (histórico)","11","1476","3.55992","-76.56353"
"San Cipriano und Umgebung","10","10","3.837058","-76.897621"
"Finca La Gregoria","10","10","4.625177","-76.28074"
"Camino Galapagos (Valle)","10","10","4.837411","-76.212715"
"Mirador El Topacio Pance","10","10","3.322488","-76.63125"
"La Cabana Restaurant","10","10","3.503928","-76.61889"
"km finca Florida","10","10","3.527734","-76.61693"
"Casa de Olman","10","10","3.563217","-76.60318"
"Km 17","10","10","3.596902","-76.64438"
"Vereda- Bellavista Y Paramillo","10","10","4.483333","-76.3"
"Entrada Pasando Dapa, Valle del Cauca, CO (3.565, -76.575)","10","10","3.56484","-76.57471"
"Valle del Cauca, CO (3,993, -75,925)","10","10","3.992688","-75.92517"
"Ruta Nacional 19 2–84, Santiago De Cali CO-Valle Del Cauca (3.5312,-76.6203)","10","10","3.531158","-76.620285"
"Valle del Cauca, CO (3.883, -76.135)","10","10","3.882879","-76.13454"
"La Cumbre","10","11","3.63094","-76.582375"
